table_catalog,data_type
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,UInt64
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,Nullable(UInt64)
INFORMATION_SCHEMA,Nullable(UInt64)
INFORMATION_SCHEMA,Nullable(UInt64)
INFORMATION_SCHEMA,Nullable(UInt64)
INFORMATION_SCHEMA,Nullable(UInt64)
INFORMATION_SCHEMA,Nullable(UInt64)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,UInt64
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,Nullable(UInt64)
INFORMATION_SCHEMA,Nullable(UInt64)
INFORMATION_SCHEMA,Nullable(UInt64)
INFORMATION_SCHEMA,Nullable(UInt64)
INFORMATION_SCHEMA,Nullable(UInt64)
INFORMATION_SCHEMA,Nullable(UInt64)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,UInt32
INFORMATION_SCHEMA,Nullable(UInt32)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,UInt32
INFORMATION_SCHEMA,Nullable(UInt32)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,Nullable(String)
INFORMATION_SCHEMA,String
INFORMATION_SCHEMA,String
